Source file: STIRRER  LEFT.dnl
Date: 01.03.2020
Time: 15:13
User name: MASTERDRIVES VC(CUVC)
Device type: MASTERDRIVES VC(CUVC)
SW version: 03.4
Bus address: 0
;;;;
MFLB: 6SE70 .. [18] 21-3E.6.                        
Converter supply voltage: 415 V
Converter current(n): 13.2 A
Converter power(n): 5.5 kW
Date of generation: 20.1.2005
Operating hours: 540.3.3052

;Basic board;Slot A;Slot C;Slot D;Slot E;Slot F;Slot G
n901;ObjectData;043;BiCoDS 2;0 
n901;ObjectData;044;BiCoDS 2;0 
n901;ObjectData;045;BiCoDS 2;0 
n901;ObjectData;046;BiCoDS 2;0 
n901;ObjectData;047;BiCoDS 2;0 
n901;ObjectData;048;BiCoDS 2;0 
n901;ObjectData;049;BiCoDS 2;0 
n901;ObjectData;050;BiCoDS 2;0 
n901;ObjectData;051;BiCoDS 2;0 
n901;ObjectData;052;BiCoDS 2;0 
n901;ObjectData;053;BiCoDS 2;0 
n901;ObjectData;054;BiCoDS 2;0 
n901;ObjectData;055;BiCoDS 2;0 
n901;ObjectData;056;BiCoDS 2;0 
n901;ObjectData;057;BiCoDS 2;0 
n901;ObjectData;058;BiCoDS 2;0 
n901;ObjectData;059;BiCoDS 2;0 
n901;ObjectData;060;BiCoDS 2;0 
n901;ObjectData;061;BiCoDS 2;0 
n901;ObjectData;062;BiCoDS 2;0 
n901;ObjectData;063;BiCoDS 2;0 
n901;ObjectData;064;BiCoDS 2;0 
n901;ObjectData;065;BiCoDS 2;0 
n901;ObjectData;066;BiCoDS 2;0 
n901;ObjectData;067;BiCoDS 2;0 
n901;ObjectData;068;BiCoDS 2;0 
n901;ObjectData;069;BiCoDS 2;0 
n901;ObjectData;070;BiCoDS 2;0 
n901;ObjectData;071;BiCoDS 2;0 
n901;ObjectData;072;BiCoDS 2;0 
n901;ObjectData;073;BiCoDS 2;0 
n901;ObjectData;074;BiCoDS 2;0 
n901;ObjectData;075;BiCoDS 2;0 
n901;ObjectData;076;BiCoDS 2;0 
n901;ObjectData;077;BiCoDS 2;0 
n901;ObjectData;078;BiCoDS 2;0 
n901;ObjectData;079;BiCoDS 2;0 
n901;ObjectData;080;BiCoDS 2;0 
n901;ObjectData;081;BiCoDS 2;0 
n901;ObjectData;082;BiCoDS 2;0 
n901;ObjectData;083;BiCoDS 2;0 
n901;ObjectData;084;BiCoDS 2;0 
n901;ObjectData;085;BiCoDS 2;0 
n901;ObjectData;086;BiCoDS 2;0 
n901;ObjectData;087;BiCoDS 2;0 
n901;ObjectData;088;BiCoDS 2;0 
n901;ObjectData;089;BiCoDS 2;0 
n901;ObjectData;090;BiCoDS 2;0 
n901;ObjectData;091;BiCoDS 2;0 
n901;ObjectData;092;BiCoDS 2;0 
n901;ObjectData;093;BiCoDS 2;0 
n901;ObjectData;094;BiCoDS 2;0 
n901;ObjectData;095;BiCoDS 2;0 
n901;ObjectData;096;BiCoDS 2;0 
n901;ObjectData;097;BiCoDS 2;0 
n901;ObjectData;098;BiCoDS 2;0 
n901;ObjectData;099;BiCoDS 2;0 
n901;ObjectData;100;BiCoDS 2;0 
U905;ObjectDataBeg;001;BiCoDS 2;0 
U905;ObjectDataBeg;002;BiCoDS 2;0 
U905;ObjectDataBeg;003;BiCoDS 2;0 
U905;ObjectDataBeg;004;BiCoDS 2;0 
U905;ObjectDataBeg;005;BiCoDS 2;0 
U910;SlotDeselect;001;Basic board;0 
U910;SlotDeselect;002;Slot A;0 
U910;SlotDeselect;003;Slot B;0 
U910;SlotDeselect;004;Slot C;0 
U910;SlotDeselect;005;Slot D;0 
U910;SlotDeselect;006;Slot E;0 
U910;SlotDeselect;007;Slot F;0 
U910;SlotDeselect;008;Slot G;0 
n911;Board ID;001;Basic board;255 
n911;Board ID;002;Slot A;255 
n911;Board ID;003;Slot B;0 
n911;Board ID;004;Slot C;0 
n911;Board ID;005;Slot D;0 
n911;Board ID;006;Slot E;0 
n911;Board ID;007;Slot F;0 
n911;Board ID;008;Slot G;0 
n912;VCS SW Inform;001;SW Version;34 
n912;VCS SW Inform;002;SW ID;1 
n912;VCS SW Inform;003;SW GenYear;2005 
n912;VCS SW Inform;004;SW GenMonth;1 
n912;VCS SW Inform;005;SW GenDay;20 
n912;VCS SW Inform;006;Patch level;0 
U950;Sampling Times1;001;Test Func T2;20 
U950;Sampling Times1;002;Test Func T3;20 
U950;Sampling Times1;003;Test Func T4;20 
U950;Sampling Times1;004;Test Func T5;20 
U950;Sampling Times1;005;Test Func T6;20 
U950;Sampling Times1;006;Test Func T7;20 
U950;Sampling Times1;007;Test Func T8;20 
U950;Sampling Times1;008;Test Func T9;20 
U950;Sampling Times1;009;Test Func T10;20 
U950;Sampling Times1;010;SCom1 Setp;4 
U950;Sampling Times1;011;1st CB Setp;4 
U950;Sampling Times1;012;SLB Setpoints;4 
U950;Sampling Times1;013;Basic Unit DI;4 
U950;Sampling Times1;014;SCom2 Setpoints;4 
U950;Sampling Times1;015;2nd CB Setp;4 
U950;Sampling Times1;016;-;20 
U950;Sampling Times1;017;-;20 
U950;Sampling Times1;018;-;20 
U950;Sampling Times1;019;-;20 
U950;Sampling Times1;020;SCom1 ActV;4 
U950;Sampling Times1;021;1st CB ActV;4 
U950;Sampling Times1;022;-;20 
U950;Sampling Times1;023;Basic Unit DO;4 
U950;Sampling Times1;024;SCom2 ActV;4 
U950;Sampling Times1;025;2nd CB ActV;4 
U950;Sampling Times1;026;-;20 
U950;Sampling Times1;027;-;20 
U950;Sampling Times1;028;-;20 
U950;Sampling Times1;029;-;20 
U950;Sampling Times1;030;-;20 
U950;Sampling Times1;031;FixSetp 17;10 
U950;Sampling Times1;032;FixSetp 18;10 
U950;Sampling Times1;033;FixSetp 19;10 
U950;Sampling Times1;034;FixSetp 20;10 
U950;Sampling Times1;035;FixSetp 21;10 
U950;Sampling Times1;036;FixSetp 22;10 
U950;Sampling Times1;037;FixSetp 23;10 
U950;Sampling Times1;038;FixSetp 24;10 
U950;Sampling Times1;039;FixSetp 25;10 
U950;Sampling Times1;040;FixSetp 26;10 
U950;Sampling Times1;041;FixSetp 27;10 
U950;Sampling Times1;042;FixSetp 28;10 
U950;Sampling Times1;043;FixSetp 29;10 
U950;Sampling Times1;044;FixSetp 30;10 
U950;Sampling Times1;045;FixSetp 31;10 
U950;Sampling Times1;046;FixSetp 32;10 
U950;Sampling Times1;047;FixSetp 33;10 
U950;Sampling Times1;048;FixBit 1;10 
U950;Sampling Times1;049;FixBit 2;10 
U950;Sampling Times1;050;FixBit 3;10 
U950;Sampling Times1;051;FixBit 4;10 
U950;Sampling Times1;052;FixBit 5;10 
U950;Sampling Times1;053;FixBit 6;10 
U950;Sampling Times1;054;FixBit 7;10 
U950;Sampling Times1;055;FixBit 8;10 
U950;Sampling Times1;056;Conn/DConnConv;20 
U950;Sampling Times1;057;Conn/Bin Conv1;20 
U950;Sampling Times1;058;Conn/Bin Conv2;20 
U950;Sampling Times1;059;Conn/Bin Conv3;20 
U950;Sampling Times1;060;CamConGroup 1+2;20 
U950;Sampling Times1;061;CamConGroup 3+4;20 
U950;Sampling Times1;062;Demultiplexer;20 
U950;Sampling Times1;063;AnaDelayEl 1;20 
U950;Sampling Times1;064;AnaDelayEl 2;20 
U950;Sampling Times1;065;PulseGen 1;20 
U950;Sampling Times1;066;SampTimeChange1;20 
U950;Sampling Times1;067;SampTimeChange2;20 
U950;Sampling Times1;068;SampTimeChange3;20 
U950;Sampling Times1;069;SampTimeChange4;20 
U950;Sampling Times1;070;SampTimeChange5;20 
U950;Sampling Times1;071;SampTimeChange6;20 
U950;Sampling Times1;072;-;20 
U950;Sampling Times1;073;-;20 
U950;Sampling Times1;074;-;20 
U950;Sampling Times1;075;AbsValueGen1;20 
U950;Sampling Times1;076;Track/Store 1;20 
U950;Sampling Times1;077;Store 1;20 
U950;Sampling Times1;078;AND element 1;20 
U950;Sampling Times1;079;AND element 2;20 
U950;Sampling Times1;080;CamContr 5+6;20 
U950;Sampling Times1;081;-;20 
U950;Sampling Times1;082;-;20 
U950;Sampling Times1;083;Adder1 1Word;20 
U950;Sampling Times1;084;SignInv1 1Word;20 
U950;Sampling Times1;085;Switch1 1Word;20 
U950;Sampling Times1;086;Switch1 2Word;20 
U950;Sampling Times1;087;Switch2 2Word;20 
U950;Sampling Times1;088;Deadzone;20 
U950;Sampling Times1;089;AND element 3;20 
U950;Sampling Times1;090;OR element 1;5 
U950;Sampling Times1;091;OR element 2;5 
U950;Sampling Times1;092;NAND element 1;20 
U950;Sampling Times1;093;EXOR 1;20 
U950;Sampling Times1;094;Binary Switch 1;20 
U950;Sampling Times1;095;Timer 1;20 
U950;Sampling Times1;096;EXOR 2;20 
U950;Sampling Times1;097;Binary Switch 2;20 
U950;Sampling Times1;098;-;20 
U950;Sampling Times1;099;-;20 
U950;Sampling Times1;100;-;20 
U951;Sampling Times2;001;Adder2 1Word;20 
U951;Sampling Times2;002;Subtr1 1Word;20 
U951;Sampling Times2;003;SignInv1 2Word;20 
U951;Sampling Times2;004;Multipl 1 1Word;20 
U951;Sampling Times2;005;Divider1 1Word;20 
U951;Sampling Times2;006;Mult/Div1 1Word;20 
U951;Sampling Times2;007;Curve 1;20 
U951;Sampling Times2;008;Inverter 1;20 
U951;Sampling Times2;009;AND element 4;20 
U951;Sampling Times2;010;Inverter 2;20 
U951;Sampling Times2;011;Inverter 3;20 
U951;Sampling Times2;012;MulDiv32 1;20 
U951;Sampling Times2;013;-;20 
U951;Sampling Times2;014;-;20 
U951;Sampling Times2;015;Adder1 2Word;20 
U951;Sampling Times2;016;Subtr1 2Word;20 
U951;Sampling Times2;017;SignInv2 1Word;20 
U951;Sampling Times2;018;LmtVMon1 1Word;20 
U951;Sampling Times2;019;Switch2 1Word;20 
U951;Sampling Times2;020;Switch3 2Word;20 
U951;Sampling Times2;021;Switch3 1Word;20 
U951;Sampling Times2;022;AND element 5;20 
U951;Sampling Times2;023;OR element 3;20 
U951;Sampling Times2;024;NAND element 2;20 
U951;Sampling Times2;025;D Flipflop1;20 
U951;Sampling Times2;026;-;20 
U951;Sampling Times2;027;-;20 
U951;Sampling Times2;028;-;20 
U951;Sampling Times2;029;Adder2 2Word;20 
U951;Sampling Times2;030;SwSignInv 1Word;20 
U951;Sampling Times2;031;Multipl1 2Word;20 
U951;Sampling Times2;032;Mult/Div2 1Word;20 
U951;Sampling Times2;033;Curve 2;20 
U951;Sampling Times2;034;RS Flipflop1;20 
U951;Sampling Times2;035;AND element 6;20 
U951;Sampling Times2;036;RS Flipflop 2;20 
U951;Sampling Times2;037;Inverter 4;20 
U951;Sampling Times2;038;Counter;20 
U951;Sampling Times2;039;-;20 
U951;Sampling Times2;040;-;20 
U951;Sampling Times2;041;-;20 
U951;Sampling Times2;042;Adder3 1Word;20 
U951;Sampling Times2;043;Divider1 2Word;20 
U951;Sampling Times2;044;AND element 7;20 
U951;Sampling Times2;045;OR element 4;20 
U951;Sampling Times2;046;Inverter 5;20 
U951;Sampling Times2;047;NAND element 3;20 
U951;Sampling Times2;048;Binary Switch 3;20 
U951;Sampling Times2;049;RS Flipflop 3;20 
U951;Sampling Times2;050;Timer 7;20 
U951;Sampling Times2;051;Comfort RGen;20 
U951;Sampling Times2;052;-;20 
U951;Sampling Times2;053;Integrator32 1;20 
U951;Sampling Times2;054;Pampf 32_2;20 
U951;Sampling Times2;055;-;20 
U951;Sampling Times2;056;-;20 
U951;Sampling Times2;057;4fold Adder;20 
U951;Sampling Times2;058;Subtr2 1Word;20 
U951;Sampling Times2;059;Multipl2 1Word;20 
U951;Sampling Times2;060;Switch4 1Word;20 
U951;Sampling Times2;061;AND element 8;20 
U951;Sampling Times2;062;AND element 9;20 
U951;Sampling Times2;063;OR element 5;20 
U951;Sampling Times2;064;Inverter 6;20 
U951;Sampling Times2;065;Binary Switch 4;20 
U951;Sampling Times2;066;RS Flipflop 4;20 
U951;Sampling Times2;067;Timer 2;20 
U951;Sampling Times2;068;Sample&Hold 1;20 
U951;Sampling Times2;069;Sample&Hold 2;20 
U951;Sampling Times2;070;Sample&Hold 3;20 
U951;Sampling Times2;071;-;20 
U951;Sampling Times2;072;Modulo 2^16 Add;20 
U951;Sampling Times2;073;Mult/Div3 1Word;20 
U951;Sampling Times2;074;Limitr1 1Word;20 
U951;Sampling Times2;075;LmtVMon2 2Word;20 
U951;Sampling Times2;076;Switch5 1Word;20 
U951;Sampling Times2;077;Switch4 2Word;20 
U951;Sampling Times2;078;Multiplexer 1;20 
U951;Sampling Times2;079;AND element 10;20 
U951;Sampling Times2;080;AND element 11;20 
U951;Sampling Times2;081;OR element 6;20 
U951;Sampling Times2;082;RS Flipflop 5;20 
U951;Sampling Times2;083;Timer 5;20 
U951;Sampling Times2;084;Timer 3;20 
U951;Sampling Times2;085;Integrator32 2;20 
U951;Sampling Times2;086;Winding Press;20 
U951;Sampling Times2;087;SimpRGen;20 
U951;Sampling Times2;088;Multiplexer 3;20 
U951;Sampling Times2;089;-;20 
U951;Sampling Times2;090;SwSignInv 2Word;20 
U951;Sampling Times2;091;Modulo 2^32 Add;20 
U951;Sampling Times2;092;AND element 12;20 
U951;Sampling Times2;093;OR element 7;20 
U951;Sampling Times2;094;Inverter 7;20 
U951;Sampling Times2;095;NAND element 4;20 
U951;Sampling Times2;096;Binary Switch 5;20 
U951;Sampling Times2;097;RS Flipflop 6;20 
U951;Sampling Times2;098;RS Flipflop 7;20 
U951;Sampling Times2;099;Timer 4;20 
U951;Sampling Times2;100;-;20 
U952;Sampling Times3;001;TeCntr;20 
U952;Sampling Times3;002;WobbleGen;20 
U952;Sampling Times3;003;Shift32_4;20 
U952;Sampling Times3;004;-;20 
U952;Sampling Times3;005;Adder3 2Word;20 
U952;Sampling Times3;006;Subtr3 1Word;20 
U952;Sampling Times3;007;AbsValGen4;20 
U952;Sampling Times3;008;Switch5 2Word;20 
U952;Sampling Times3;009;Curve 3;20 
U952;Sampling Times3;010;OR element 8;20 
U952;Sampling Times3;011;OR element 9;20 
U952;Sampling Times3;012;NAND element 5;20 
U952;Sampling Times3;013;RS Flipflop 8;20 
U952;Sampling Times3;014;RS Flipflop 9;20 
U952;Sampling Times3;015;D Flipflop 2;20 
U952;Sampling Times3;016;Timer 6;20 
U952;Sampling Times3;017;Multiplexer 4;20 
U952;Sampling Times3;018;-;20 
U952;Sampling Times3;019;-;20 
U952;Sampling Times3;020;Adder4 1Word;20 
U952;Sampling Times3;021;Adder4 2Word;20 
U952;Sampling Times3;022;SignInv2 2Word;20 
U952;Sampling Times3;023;Divider2 1Word;20 
U952;Sampling Times3;024;Maximum Select;20 
U952;Sampling Times3;025;Minimum Select;20 
U952;Sampling Times3;026;AND element 13;20 
U952;Sampling Times3;027;NAND element 6;20 
U952;Sampling Times3;028;EXOR 3;20 
U952;Sampling Times3;029;RS Flipflop 10;20 
U952;Sampling Times3;030;RS Flipflop 11;20 
U952;Sampling Times3;031;PT1Elem32 1;20 
U952;Sampling Times3;032;DElem32 1;20 
U952;Sampling Times3;033;-;20 
U952;Sampling Times3;034;-;20 
U952;Sampling Times3;035;Subtr2 2Word;20 
U952;Sampling Times3;036;SignInv3 1Word;20 
U952;Sampling Times3;037;Multipl3 1Word;20 
U952;Sampling Times3;038;Limiter2 1Word;20 
U952;Sampling Times3;039;AND element 14;20 
U952;Sampling Times3;040;OR element 10;20 
U952;Sampling Times3;041;Inverter 8;20 
U952;Sampling Times3;042;NAND element 7;20 
U952;Sampling Times3;043;PT1Elem32 2;20 
U952;Sampling Times3;044;-;20 
U952;Sampling Times3;045;-;20 
U952;Sampling Times3;046;-;20 
U952;Sampling Times3;047;AbsValGen 2;20 
U952;Sampling Times3;048;Limiter1 2Word;20 
U952;Sampling Times3;049;LmtVMon2 1Word;20 
U952;Sampling Times3;050;Store 2;20 
U952;Sampling Times3;051;AND element 15;20 
U952;Sampling Times3;052;AND element 16;20 
U952;Sampling Times3;053;Inverter 9;20 
U952;Sampling Times3;054;AND element 17;20 
U952;Sampling Times3;055;Inverter 10;20 
U952;Sampling Times3;056;Bin/Con Convrt4;20 
U952;Sampling Times3;057;Time slot wait;20 
U952;Sampling Times3;058;Adr/Con Transf;20 
U952;Sampling Times3;059;Fault F148;20 
U952;Sampling Times3;060;Fault F149;20 
U952;Sampling Times3;061;Fault F150;20 
U952;Sampling Times3;062;Fault F151;20 
U952;Sampling Times3;063;Alarm A061;20 
U952;Sampling Times3;064;Alarm A062;20 
U952;Sampling Times3;065;Alarm A063;20 
U952;Sampling Times3;066;Alarm A064;20 
U952;Sampling Times3;067;AbsValGen3;20 
U952;Sampling Times3;068;LmtValMon1 2Wrd;20 
U952;Sampling Times3;069;Track/Store 2;20 
U952;Sampling Times3;070;OR element 11;20 
U952;Sampling Times3;071;RS Flipflop 12;20 
U952;Sampling Times3;072;TraceOut Ch1;20 
U952;Sampling Times3;073;TraceOut Ch2;20 
U952;Sampling Times3;074;TraceOut Ch3;20 
U952;Sampling Times3;075;ConnDisp 1;10 
U952;Sampling Times3;076;ConnDisp 2;10 
U952;Sampling Times3;077;ConnDisp 3;10 
U952;Sampling Times3;078;DConnDisp 1;10 
U952;Sampling Times3;079;DConnDisp 2;10 
U952;Sampling Times3;080;DConnDisp 3;10 
U952;Sampling Times3;081;DConnDisp 4;10 
U952;Sampling Times3;082;BinDisp 1;10 
U952;Sampling Times3;083;BinDisp 2;10 
U952;Sampling Times3;084;BinDisp 3;10 
U952;Sampling Times3;085;BinDisp 4;10 
U952;Sampling Times3;086;ConnDisp Smth;10 
U952;Sampling Times3;087;DConnDisp Smth;10 
U952;Sampling Times3;088;DConn/Conn Conv;20 
U952;Sampling Times3;089;Bin/Conn Conv 1;20 
U952;Sampling Times3;090;Bin/Conn Conv 2;20 
U952;Sampling Times3;091;Bin/Conn Conv 3;20 
U952;Sampling Times3;092;AND element 18;20 
U952;Sampling Times3;093;OR element 12;20 
U952;Sampling Times3;094;NAND element 8;20 
U952;Sampling Times3;095;TraceOut Ch4;20 
U952;Sampling Times3;096;TraceOut Ch5;20 
U952;Sampling Times3;097;Trace Out Ch6;20 
U952;Sampling Times3;098;TraceOut Ch7;20 
U952;Sampling Times3;099;TraceOut Ch8;20 
U952;Sampling Times3;100;-;20 
U953;Sampling Times4;001;1st EB1 AnaIn1;20 
U953;Sampling Times4;002;1st EB1AnaIn2+3;20 
U953;Sampling Times4;003;1st EB1 AnaOut;4 
U953;Sampling Times4;004;1stEB1 DE+DA;4 
U953;Sampling Times4;005;1st EB1 DigIn1;4 
U953;Sampling Times4;006;2nd EB1AnaIn1;20 
U953;Sampling Times4;007;2nd EB1AnaIn2+3;20 
U953;Sampling Times4;008;2nd EB1 AnaOut;20 
U953;Sampling Times4;009;2ndEB1DigIn+Out;20 
U953;Sampling Times4;010;2nd EB1 DigIn1;20 
U953;Sampling Times4;011;1st EB2 AnaIn;4 
U953;Sampling Times4;012;1st EB2 AnaOut;4 
U953;Sampling Times4;013;1st EB2 DigIn;4 
U953;Sampling Times4;014;1st EB2 DigOut;4 
U953;Sampling Times4;015;2nd EB2 AnaIn;20 
U953;Sampling Times4;016;2nd EB2 AnaOut;20 
U953;Sampling Times4;017;2nd EB2 DigIn;20 
U953;Sampling Times4;018;2nd EB2 DigOut;20 
U953;Sampling Times4;019;-;20 
U953;Sampling Times4;020;-;20 
U953;Sampling Times4;021;-;20 
U953;Sampling Times4;022;-;20 
U953;Sampling Times4;023;TSY DigIn;4 
U953;Sampling Times4;024;TSY DigOut;4 
U953;Sampling Times4;025;SCB Setp;4 
U953;Sampling Times4;026;SCB ActV;4 
U953;Sampling Times4;027;-;20 
U953;Sampling Times4;028;-;20 
U953;Sampling Times4;029;-;20 
U953;Sampling Times4;030;-;20 
U953;Sampling Times4;031;-;20 
U953;Sampling Times4;032;-;20 
U953;Sampling Times4;033;-;20 
U953;Sampling Times4;034;-;20 
U953;Sampling Times4;035;-;20 
U953;Sampling Times4;036;Shift32_1;20 
U953;Sampling Times4;037;Shift32_2;20 
U953;Sampling Times4;038;Shift32_3;20 
U953;Sampling Times4;039;PAmpf 32_1;20 
U953;Sampling Times4;040;-;20 
U953;Sampling Times4;041;-;20 
U953;Sampling Times4;042;-;20 
U953;Sampling Times4;043;-;20 
U953;Sampling Times4;044;-;20 
U953;Sampling Times4;045;-;20 
U953;Sampling Times4;046;-;20 
U953;Sampling Times4;047;DiaCalculator;20 
U953;Sampling Times4;048;BrakeControl;20 
U953;Sampling Times4;049;Inertia;20 
U953;Sampling Times4;050;-;20 
U953;Sampling Times4;051;-;20 
U953;Sampling Times4;052;-;20 
U953;Sampling Times4;053;-;20 
U953;Sampling Times4;054;-;20 
U953;Sampling Times4;055;-;20 
U953;Sampling Times4;056;-;20 
U953;Sampling Times4;057;-;20 
U953;Sampling Times4;058;-;20 
U953;Sampling Times4;059;-;20 
U953;Sampling Times4;060;-;20 
U953;Sampling Times4;061;-;20 
U953;Sampling Times4;062;-;20 
U953;Sampling Times4;063;-;20 
U953;Sampling Times4;064;-;20 
U953;Sampling Times4;065;-;20 
U953;Sampling Times4;066;-;20 
U953;Sampling Times4;067;-;20 
U953;Sampling Times4;068;-;20 
U953;Sampling Times4;069;-;20 
U953;Sampling Times4;070;Noise;20 
U953;Sampling Times4;071;-;20 
U953;Sampling Times4;072;Trace;2 
U953;Sampling Times4;073;-;20 
U953;Sampling Times4;074;-;20 
U953;Sampling Times4;075;-;20 
U953;Sampling Times4;076;-;20 
U953;Sampling Times4;077;-;20 
U953;Sampling Times4;078;-;20 
U953;Sampling Times4;079;-;20 
U953;Sampling Times4;080;-;20 
U953;Sampling Times4;081;-;20 
U953;Sampling Times4;082;-;20 
U953;Sampling Times4;083;-;20 
U953;Sampling Times4;084;-;20 
U953;Sampling Times4;085;-;20 
U953;Sampling Times4;086;-;20 
U953;Sampling Times4;087;-;20 
U953;Sampling Times4;088;-;20 
U953;Sampling Times4;089;-;20 
U953;Sampling Times4;090;-;20 
U953;Sampling Times4;091;-;20 
U953;Sampling Times4;092;-;20 
U953;Sampling Times4;093;-;20 
U953;Sampling Times4;094;-;20 
U953;Sampling Times4;095;-;20 
U953;Sampling Times4;096;-;20 
U953;Sampling Times4;097;-;20 
U953;Sampling Times4;098;-;20 
U953;Sampling Times4;099;-;20 
U953;Sampling Times4;100;-;20 
n957;Sampling Times 7;001;Speed Encoder;2 
n957;Sampling Times 7;002;PulseEncSyn;20 
n957;Sampling Times 7;003;-;20 
n957;Sampling Times 7;004;-;20 
n957;Sampling Times 7;005;DispReg;3 
n957;Sampling Times 7;006;Disp V/f Char;20 
n957;Sampling Times 7;007;-;20 
n957;Sampling Times 7;008;-;20 
n957;Sampling Times 7;009;-;20 
n957;Sampling Times 7;010;Speed 1/T-R;20 
n957;Sampling Times 7;011;Speed f-Reg;2 
n957;Sampling Times 7;012;Speed V/f Char;20 
n957;Sampling Times 7;013;-;20 
n957;Sampling Times 7;014;-;20 
n957;Sampling Times 7;015;Speed Ctrl;20 
n957;Sampling Times 7;016;SpeedLimCtrl;20 
n957;Sampling Times 7;017;Freq Ctrl;3 
n957;Sampling Times 7;018;FreqLimCtrl;20 
n957;Sampling Times 7;019;Speed Ctrl V/f;20 
n957;Sampling Times 7;020;-;20 
n957;Sampling Times 7;021;-;20 
n957;Sampling Times 7;022;-;20 
n957;Sampling Times 7;023;-;20 
n957;Sampling Times 7;024;-;20 
n957;Sampling Times 7;025;Static n-Reg;20 
n957;Sampling Times 7;026;DT1 Elem T-Reg;20 
n957;Sampling Times 7;027;Droop n/f Reg;3 
n957;Sampling Times 7;028;-;20 
n957;Sampling Times 7;029;-;20 
n957;Sampling Times 7;030;T/I/Pw Limit;3 
n957;Sampling Times 7;031;T/I/Pw LimSyn;20 
n957;Sampling Times 7;032;-;20 
n957;Sampling Times 7;033;-;20 
n957;Sampling Times 7;034;-;20 
n957;Sampling Times 7;035;MSetMasterDrive;3 
n957;Sampling Times 7;036;MSetSlaveDrive;20 
n957;Sampling Times 7;037;MSetMastDrvSyn;20 
n957;Sampling Times 7;038;MSetSlavDrvSyn;20 
n957;Sampling Times 7;039;Msoll schnell;20 
n957;Sampling Times 7;040;FluxSet n/M-Reg;20 
n957;Sampling Times 7;041;FlußSW Sync.;20 
n957;Sampling Times 7;042;CurrentModelSyn;20 
n957;Sampling Times 7;043;FluxSet f-Reg;3 
n957;Sampling Times 7;044;CurrentSet f-R;3 
n957;Sampling Times 7;045;-;20 
n957;Sampling Times 7;046;-;20 
n957;Sampling Times 7;047;-;20 
n957;Sampling Times 7;048;-;20 
n957;Sampling Times 7;049;-;20 
n957;Sampling Times 7;050;-;20 
n957;Sampling Times 7;051;-;20 
n957;Sampling Times 7;052;-;20 
n957;Sampling Times 7;053;-;20 
n957;Sampling Times 7;054;-;20 
n957;Sampling Times 7;055;Current Ctrl;2 
n957;Sampling Times 7;056;CurrentCtrlSyn;20 
n957;Sampling Times 7;057;-;20 
n957;Sampling Times 7;058;-;20 
n957;Sampling Times 7;059;-;20 
n957;Sampling Times 7;060;Motor Model n-R;20 
n957;Sampling Times 7;061;Motor Model f-R;2 
n957;Sampling Times 7;062;Motor Model Syn;20 
n957;Sampling Times 7;063;-;20 
n957;Sampling Times 7;064;-;20 
n957;Sampling Times 7;065;ILim V/f Char;20 
n957;Sampling Times 7;066;ILim V/f Char.n;20 
n957;Sampling Times 7;067;ILim V/f-Tex;20 
n957;Sampling Times 7;068;-;20 
n957;Sampling Times 7;069;Temp Model Ind;8 
n957;Sampling Times 7;070;Temp Model Syn;20 
n957;Sampling Times 7;071;-;20 
n957;Sampling Times 7;072;Stall nf;5 
n957;Sampling Times 7;073;Stall Vf;20 
n957;Sampling Times 7;074;Stall Syn;20 
n957;Sampling Times 7;075;KIB Vdmin Reg;2 
n957;Sampling Times 7;076;Flex Response;2 
n957;Sampling Times 7;077;Vd(max) Ctrl;2 
n957;Sampling Times 7;078;DC Brake;3 
n957;Sampling Times 7;079;Flying Restart;4 
n957;Sampling Times 7;080;-;20 
n957;Sampling Times 7;081;TSY Synchr2;4 
n957;Sampling Times 7;082;TSY Synchr3;4 
n957;Sampling Times 7;083;-;20 
n957;Sampling Times 7;084;-;20 
n957;Sampling Times 7;085;-;20 
n957;Sampling Times 7;086;-;20 
n957;Sampling Times 7;087;-;20 
n957;Sampling Times 7;088;-;20 
n957;Sampling Times 7;089;-;20 
n957;Sampling Times 7;090;-;20 
n957;Sampling Times 7;091;-;20 
n957;Sampling Times 7;092;-;20 
n957;Sampling Times 7;093;-;20 
n957;Sampling Times 7;094;-;20 
n957;Sampling Times 7;095;-;20 
n957;Sampling Times 7;096;-;20 
n957;Sampling Times 7;097;-;20 
n957;Sampling Times 7;098;-;20 
n957;Sampling Times 7;099;-;20 
n957;Sampling Times 7;100;-;20 
n958;AutomaticRecord;001;Scom1 B2100..;4 
n958;AutomaticRecord;002;Scom1 B2200..;4 
n958;AutomaticRecord;003;Scom1 B2300..;4 
n958;AutomaticRecord;004;Scom1 B2400..;4 
n958;AutomaticRecord;005;Scom1 B2500..;4 
n958;AutomaticRecord;006;Scom1 B2600..;4 
n958;AutomaticRecord;007;SCom1 B2700..;4 
n958;AutomaticRecord;008;SCom1 B2800..;4 
n958;AutomaticRecord;009;SCom1 B2900..;4 
n958;AutomaticRecord;010;-;20 
n958;AutomaticRecord;011;1st CB/TB B3100;4 
n958;AutomaticRecord;012;1st CB/TB B3200;4 
n958;AutomaticRecord;013;1st CB/TB B3300;4 
n958;AutomaticRecord;014;1st CB/TB B3400;4 
n958;AutomaticRecord;015;1st CB/TB B3500;4 
n958;AutomaticRecord;016;1st CB/TB B3600;4 
n958;AutomaticRecord;017;1st CB/TB B3700;4 
n958;AutomaticRecord;018;1st CB/TB B3800;4 
